,Text:,Audio:,Image:,No of tries: (1-4),Points awarded: (0-infinity),Display question number: (Y/N),Timer: (0s-infinity),,,,,,,,,,,,,,
Section Name:,Section Name,Section Audio,SectionTitle.jpg,20000,0,TRUE,,,,,,,,,,,,,,,
Instructions:,看汉语拼音，选出正确的答案！,Instructions.mp3,Instruction.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Audio:,Image:,,,,,,,,,,,,,,,,,,
Page Background:,,Page Background Audio,Page Background Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Image:,,,,,,,,,,,,,,,,,,
Question Background:,,,QuestionBackground Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,
Question:,Question 1 Sample,Question Audio 1,Question 1 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,2
Question:,Question 2 Sample,Question Audio 2,Question 2 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,1
Question:,牛喜欢吃什么？,Question3.wav,Question3,Answer 1:,草,answer1audio,cao.png,Answer 2:,奶,answer2audio,milk.png,Answer 3:,肉,answer3audio,meat.png,Answer 4:,电,electric.wav,electric.png,Correct:,2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,No of tries: (1-4),Points awarded: (0-infinity),Display question number: (Y/N),Timer: (0s-infinity),,,,,,,,,,,,,,
Section Name:,Section Name,Section Audio,SectionTitle.jpg,20000,0,TRUE,,,,,,,,,,,,,,,
Instructions:,看汉语拼音，选出正确的答案！,Instructions.mp3,Instruction.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Audio:,Image:,,,,,,,,,,,,,,,,,,
Page Background:,,Page Background Audio,Page Background Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Image:,,,,,,,,,,,,,,,,,,
Question Background:,,,QuestionBackground Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,
Question:,Question 1 Sample,Question Audio 1,Quesiton 1 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,2
Question:,Question 2 Sample,Question Audio 2,Question 2 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,1
Question:,牛喜欢吃什么？,Question3.wav,Question3.png,Answer 1:,草,answer1audio,cao.png,Answer 2:,奶,answer2audio,milk.png,Answer 3:,肉,answer3audio,meat.png,Answer 4:,电,electric.wav,electric.png,Correct:,2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,No of tries: (1-4),Points awarded: (0-infinity),Display question number: (Y/N),Timer: (0s-infinity),,,,,,,,,,,,,,
Section Name:,Section Name,Section Audio,SectionTitle.jpg,20000,0,TRUE,,,,,,,,,,,,,,,
Instructions:,看汉语拼音，选出正确的答案！,Instructions.mp3,Instruction.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Audio:,Image:,,,,,,,,,,,,,,,,,,
Page Background:,,Page Background Audio,Page Background Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Image:,,,,,,,,,,,,,,,,,,
Question Background:,,,QuestionBackground Image,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,
Question:,Question 1 Sample,Question Audio 1,Quesiton 1 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,2
Question:,Question 2 Sample,Question Audio 2,Question 2 Image,Answer 1:,Answer 1 Text,answer1audio,Answer 1 Image,Answer 2:,Answer 2 Text,answer2audio,Answer 2 Image,Answer 3:,Answer 3 Text,answer3audio,Answer 3 Image,Answer 4:,Answer 4 Text,Answer 4 Audio,Answer 4 Image,Correct:,1
Question:,牛喜欢吃什么？,Question3.wav,Question3.png,Answer 1:,草,answer1audio,cao.png,Answer 2:,奶,answer2audio,milk.png,Answer 3:,肉,answer3audio,meat.png,Answer 4:,电,electric.wav,electric.png,Correct:,2
