,Text:,Audio:,Image:,No of tries: (1-4),Points awarded: (0-infinity),Display question number: (Y/N),Timer: (0s-infinity),,,,,,,,,,
Section Name:,Zoo - Quiz 3,Section Audio,SectionTitle.jpg,20000,0,TRUE,,,,,,,,,,,
Instructions:,请选择正确的词语,Instructions.mp3,Instruction.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Audio:,Image:,,,,,,,,,,,,,,
Page Background:,,Page Background Audio,Page Background Image,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Image:,,,,,,,,,,,,,,
Question Background:,,,QuestionBackground Image,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,Text:,Audio:,Image:,,
Question:,dé shì,Q2Q1O1,,Answer 1:,德士,Q2Q1O1,,Answer 2:,得失,Q2Q1O2,,Answer 3:,得时,Q2Q1O3,,Correct:,1
Question:,dà xiàng,Q2Q2O1,,Answer 1:,大想,Q2Q2O1,,Answer 2:,大祥,Q2Q2O2,,Answer 3:,大象,Q2Q2O3,,Correct:,3
Question:,mǎ lù,Q2Q3O1,,Answer 1:,吗路,Q2Q3O1,,Answer 2:,马路,Q2Q3O2,,Answer 3:,骂路,Q2Q3O3,,Correct:,2
Question:,fēng jǐng,Q2Q4O1,,Answer 1:,风经,Q2Q4O1,,Answer 2:,风镜,Q2Q4O2,,Answer 3:,风景,Q2Q4O3,,Correct:,3
